Fiscal Year,Agency Name,Payee Name,Payee Zip,Amount,Purpose of Payment (Baltimore County only),MBE
2018,Anne Arundel Co. Public Schools,JACOBS PROJECT MANAGEMENT CO,,,,
2018,Anne Arundel Co. Public Schools,JAMES POSEY ASSOCIATES INC,,,,
2018,Anne Arundel Co. Public Schools,JESCO Inc,,,,
2018,Anne Arundel Co. Public Schools,JLN CONSTRUCTION SERVICES,,,,
2018,Anne Arundel Co. Public Schools,JNA PAINTING CO INC,,,,
2018,Anne Arundel Co. Public Schools,JOHNSON CONTROLS INC,,,,
2018,Anne Arundel Co. Public Schools,JOHNSON MIRMIRAN & THOMPSON,,,,
2018,Anne Arundel Co. Public Schools,JR Balsan Inc DBA Johnstone Supply,,,,
2018,Anne Arundel Co. Public Schools,JUBBS BUS SERVICE INC,,,,
2018,Anne Arundel Co. Public Schools,Jay Batterden,,,,
2018,Anne Arundel Co. Public Schools,Johnson Truck Center,,,,
2018,Anne Arundel Co. Public Schools,KENNEDY KRIEGER INSTITUTE,,,,
2018,Anne Arundel Co. Public Schools,KEY SYSTEMS INC,,,,
2018,Anne Arundel Co. Public Schools,"KING MECHANICAL COMPANY, INC.",,,,
2018,Anne Arundel Co. Public Schools,KINSLEY CONSTRUCTION INC,,,,
2018,Anne Arundel Co. Public Schools,KONE INC,,,,
2018,Anne Arundel Co. Public Schools,"KaRon Masonry of Maryland, Inc.",,,,
2018,Anne Arundel Co. Public Schools,King Professional Development Services Inc,,,,
2018,Anne Arundel Co. Public Schools,LANGE ELECTRIC CO INC,,,,
2018,Anne Arundel Co. Public Schools,LAUREL HALL SCHOOL,,,,
2018,Anne Arundel Co. Public Schools,LEE'S ELECTRICAL CONTRACTING,,,,
2018,Anne Arundel Co. Public Schools,"LEN SEC, LLC",,,,
2018,Anne Arundel Co. Public Schools,LEONARD PAPER COMPANY,,,,
2018,Anne Arundel Co. Public Schools,LEXIA LEARNING SYSTEMS,,,,
2018,Anne Arundel Co. Public Schools,LIBRARY CORP (THE),,,,
2018,Anne Arundel Co. Public Schools,LIGHTSPEED TECHNOLOGIES,,,,
2018,Anne Arundel Co. Public Schools,LINCOLN LIBRARY PRESS INC,,,,
2018,Anne Arundel Co. Public Schools,LINDEN COOKIES INC,,,,
2018,Anne Arundel Co. Public Schools,LINDSAY FORD,,,,
2018,Anne Arundel Co. Public Schools,LINWOOD CHILDRENS CENTER,,,,
2018,Anne Arundel Co. Public Schools,LOCUST LANE FARMS INC,,,,
2018,Anne Arundel Co. Public Schools,LONERGAN'S CHARTER SERVICE INC,,,,
2018,Anne Arundel Co. Public Schools,LONG FENCE,,,,
2018,Anne Arundel Co. Public Schools,LORD BALTIMORE UNIFORM,,,,
2018,Anne Arundel Co. Public Schools,LORENZ LAWN AND LANDSCAPE INC,,,,
2018,Anne Arundel Co. Public Schools,Lakeshore Equipment Company,,,,
2018,Anne Arundel Co. Public Schools,Linda Storm DBA Touch for Life,,,,
2018,Anne Arundel Co. Public Schools,M&E SALES INC,,,,
2018,Anne Arundel Co. Public Schools,MACKIN Book Company,,,,
2018,Anne Arundel Co. Public Schools,MAGOTHY TECHNOLOGY LLC,,,,
2018,Anne Arundel Co. Public Schools,MANSEF,,,,
2018,Anne Arundel Co. Public Schools,MANSFIELD OIL COMPANY,,,,
2018,Anne Arundel Co. Public Schools,MARTEL LABS INC,,,,
2018,Anne Arundel Co. Public Schools,MARYLAND ASSOCIATION OF BOARDS OF EDUCATION,,,,
2018,Anne Arundel Co. Public Schools,MARYLAND CENTERS FOR PSYCHIATRY PA,,,,
2018,Anne Arundel Co. Public Schools,MARYLAND CORRECTIONAL ENTERPRISES,,,,
2018,Anne Arundel Co. Public Schools,MARYLAND ENVIRONMENTAL SERVICE,,,,
2018,Anne Arundel Co. Public Schools,MARYLAND MECHANICAL SYSTEMS,,,,
2018,Anne Arundel Co. Public Schools,MARYLAND PAINT & DECORATING,,,,
2018,Anne Arundel Co. Public Schools,MARYLAND SCHOOL FOR THE DEAF,,,,
2018,Anne Arundel Co. Public Schools,"MARYLAND SOUND & IMAGE, INC.",,,,
2018,Anne Arundel Co. Public Schools,MARYLAND UNEMPLOYMENT INSURANCE FUND,,,,
2018,Anne Arundel Co. Public Schools,MASTER CARE FLOORING INC,,,,
2018,Anne Arundel Co. Public Schools,"MATRIX SPORTS MGMT, LLC",,,,
2018,Anne Arundel Co. Public Schools,MBG ENTERPRISES,,,,
2018,Anne Arundel Co. Public Schools,MCDANIEL COLLEGE,,,,
2018,Anne Arundel Co. Public Schools,MD CHILD SUPPORT,,,,
2018,Anne Arundel Co. Public Schools,MD DEPT OF HUMAN SERVICES,,,,
2018,Anne Arundel Co. Public Schools,MD STATE DEPT OF EDUCATION,,,,
2018,Anne Arundel Co. Public Schools,MD STATE RETIREMENT SYSTEM,,,,
2018,Anne Arundel Co. Public Schools,MEADE SENIOR HIGH SCHOOL,,,,
2018,Anne Arundel Co. Public Schools,MESSICK & ASSOCIATES,,,,
2018,Anne Arundel Co. Public Schools,MF Athletic Co DBA PERFORM BETTER,,,,
2018,Anne Arundel Co. Public Schools,MGM ELECTRICAL SYSTEMS INC,,,,
2018,Anne Arundel Co. Public Schools,"MICHAEL J EIG and ASSOCIATES, P.C.",,,,
2018,Anne Arundel Co. Public Schools,MICROSOFT CORPORATION,,,,
2018,Anne Arundel Co. Public Schools,MIDDLETON & MEADS CO INC,,,,
2018,Anne Arundel Co. Public Schools,MILLER FLOORING COMPANY INC,,,,
2018,Anne Arundel Co. Public Schools,MONARCH TEACHING TECHNOLOGIES INC,,,,
2018,Anne Arundel Co. Public Schools,MOUNTAIN MANOR TREATMENT CTR.,,,,
2018,Anne Arundel Co. Public Schools,MT LIBRARY SERVICES INC,,,,
2018,Anne Arundel Co. Public Schools,MUSCO SPORTS LIGHTING,,,,
2018,Anne Arundel Co. Public Schools,"MYTHICS, INC",,,,
2018,Anne Arundel Co. Public Schools,Maid-Rite Specialty Foods LLC,,,,
2018,Anne Arundel Co. Public Schools,Maryland State Education Association,,,,
2018,Anne Arundel Co. Public Schools,McGraw-Hill Education Inc,,,,
2018,Anne Arundel Co. Public Schools,Md National Capital Park and Planning Commission,,,,
2018,Anne Arundel Co. Public Schools,Md National Capital and Planning Commission,,,,
2018,Anne Arundel Co. Public Schools,Modular Genius Inc,,,,
2018,Anne Arundel Co. Public Schools,Monarch Academy Public Charter School,,,,
2018,Anne Arundel Co. Public Schools,Morelli-Hoskins Ford Inc,,,,
2018,Anne Arundel Co. Public Schools,Morton Salt Inc.,,,,
2018,Anne Arundel Co. Public Schools,Multicorp Fire Protection Services,,,,
2018,Anne Arundel Co. Public Schools,NAPA AUTO PARTS,,,,
2018,Anne Arundel Co. Public Schools,NASTOS CONSTRUCTION,,,,
2018,Anne Arundel Co. Public Schools,NATIONAL COUNCIL OF TEACHERS OF MATH,,,,
2018,Anne Arundel Co. Public Schools,NAVIANCE DBA HOBSONS,,,,
2018,Anne Arundel Co. Public Schools,NESTLE WATERS,,,,
2018,Anne Arundel Co. Public Schools,NEWS-2-YOU,,,,
2018,Anne Arundel Co. Public Schools,NEWSOM SEED INC,,,,
2018,Anne Arundel Co. Public Schools,NICHOLAS P PIPINO & ASSOCIATE,,,,
2018,Anne Arundel Co. Public Schools,NORTH COUNTY BUS CO INC,,,,
2018,Anne Arundel Co. Public Schools,NORTH POINT BUILDERS INC,,,,
2018,Anne Arundel Co. Public Schools,NORTHBAY,,,,
2018,Anne Arundel Co. Public Schools,NOTRE DAME UNIVERSITY OF MARYLAND,,,,
2018,Anne Arundel Co. Public Schools,Netop,,,,
2018,Anne Arundel Co. Public Schools,NorthStar Contracting Group,,,,
2018,Anne Arundel Co. Public Schools,OAK CONTRACTING L.L.C.,,,,
2018,Anne Arundel Co. Public Schools,OFFICE DEPOT,,,,
2018,Anne Arundel Co. Public Schools,ORIENTAL TRADING CO INC,,,,
2018,Anne Arundel Co. Public Schools,OVERHEAD DOOR CO. OF BALT. INC,,,,
2018,Anne Arundel Co. Public Schools,OXFORD UNIVERSITY PRESS,,,,
2018,Anne Arundel Co. Public Schools,On Computer Services DBA Unified Power,,,,
2018,Anne Arundel Co. Public Schools,"PAPCO, iNC.",,,,
2018,Anne Arundel Co. Public Schools,PAULINE V JUBB REVOCABLE TRUST,,,,
2018,Anne Arundel Co. Public Schools,PEARSON CLINICAL ASSESSMENT,,,,
2018,Anne Arundel Co. Public Schools,PEARSON EDUCATION,,,,
2018,Anne Arundel Co. Public Schools,PENNSYLVANIA DEPT OF REVENUE,,,,
2018,Anne Arundel Co. Public Schools,PENZA BAILEY ARCHITECTS,,,,
2018,Anne Arundel Co. Public Schools,"PERFORMANCE MATTERS, LLC",,,,
2018,Anne Arundel Co. Public Schools,PETROLEUM MANAGEMENT INC,,,,
2018,Anne Arundel Co. Public Schools,PHANTOM TECHNOLOGIES INC,,,,
2018,Anne Arundel Co. Public Schools,PHILLIPS WAY INC,,,,
2018,Anne Arundel Co. Public Schools,PITNEY BOWES INC,,,,
2018,Anne Arundel Co. Public Schools,PROJECT LEAD THE WAY INC,,,,
2018,Anne Arundel Co. Public Schools,PROQUEST INFORMATION & LEARNING,,,,
2018,Anne Arundel Co. Public Schools,PYRAMID SCHOOL PRODUCTS,,,,
2018,Anne Arundel Co. Public Schools,"PayDirt, LLC",,,,
2018,Anne Arundel Co. Public Schools,Performance Health Supply Inc,,,,
2018,Anne Arundel Co. Public Schools,"Peroutka, Miller, Klima and Peters, P.A.",,,,
2018,Anne Arundel Co. Public Schools,PowerSchool Group LLC,,,,
2018,Anne Arundel Co. Public Schools,RADCLIFFE CREEK SCHOOL,,,,
2018,Anne Arundel Co. Public Schools,RAPTOR TECHNOLOGIES,,,,
2018,Anne Arundel Co. Public Schools,RE Sheehi Trucking & Paving LLC,,,,
2018,Anne Arundel Co. Public Schools,RE WILSON & SONS INC,,,,
2018,Anne Arundel Co. Public Schools,READING WAREHOUSE INC (THE),,,,
2018,Anne Arundel Co. Public Schools,REGIONAL INSTITUTE FOR,,,,
2018,Anne Arundel Co. Public Schools,RELIABLE CONTRACTING CO INC,,,,
2018,Anne Arundel Co. Public Schools,RELX Inc,,,,
2018,Anne Arundel Co. Public Schools,RIDDELL/ALL AMERICAN,,,,
2018,Anne Arundel Co. Public Schools,"RLS HEATING, AIR CONDITIONING & REFRIGERATION",,,,
2018,Anne Arundel Co. Public Schools,"ROBERT F. BEALL & SONS, INC.",,,,
2018,Anne Arundel Co. Public Schools,ROBERT W CHILDS LANDSCAPE CONTRACTORS INC,,,,
2018,Anne Arundel Co. Public Schools,ROMAN MOSAIC & TILE CO,,,,
2018,Anne Arundel Co. Public Schools,RONCO MECHANICAL CONTRACTORS INC,,,,
2018,Anne Arundel Co. Public Schools,ROSEN PUBLISHING GROUP (THE),,,,
2018,Anne Arundel Co. Public Schools,ROSETTA STONE LTD,,,,
2018,Anne Arundel Co. Public Schools,ROY KIRBY AND SONS INC,,,,
2018,Anne Arundel Co. Public Schools,ROYALLE DINING SERVICES INC,,,,
2018,Anne Arundel Co. Public Schools,RUDOLPH'S OFFICE & COMPUTER SUPPLY INC,,,,
2018,Anne Arundel Co. Public Schools,RUFF ROOFERS INC,,,,
2018,Anne Arundel Co. Public Schools,"Rebecca A. Herr, Trustee",,,,
2018,Anne Arundel Co. Public Schools,"Republic Services, Inc.",,,,
2018,Anne Arundel Co. Public Schools,Richard Kniseley,,,,
2018,Anne Arundel Co. Public Schools,"Ricoh USA, Inc",,,,
2018,Anne Arundel Co. Public Schools,Riverside Paper Supply,,,,
2018,Anne Arundel Co. Public Schools,"RoboNation, Inc.",,,,
2018,Anne Arundel Co. Public Schools,Rubble Bee Recycling & Demolition LLC,,,,
2018,Anne Arundel Co. Public Schools,Rutherford Supply Corporation,,,,
2018,Anne Arundel Co. Public Schools,S FREEDMAN & SONS INC,,,,
2018,Anne Arundel Co. Public Schools,S.D. AUTO SERVICE,,,,
2018,Anne Arundel Co. Public Schools,SA HALAC IRON WORKS INC,,,,
2018,Anne Arundel Co. Public Schools,SAAAAC,,,,
2018,Anne Arundel Co. Public Schools,SCANTRON CORP,,,,
2018,Anne Arundel Co. Public Schools,SCHMIDT BAKING CO INC,,,,
2018,Anne Arundel Co. Public Schools,SCHOLASTIC INC,,,,
2018,Anne Arundel Co. Public Schools,SCHOLASTIC LIBRARY PUBLISHING,,,,
2018,Anne Arundel Co. Public Schools,SCHOOL SPECIALTY,,,,
2018,Anne Arundel Co. Public Schools,SDE Inc,,,,
2018,Anne Arundel Co. Public Schools,"SEON SYSTEMS SALES, INC.",,,,
2018,Anne Arundel Co. Public Schools,SF&C INSURANCE ASSOCIATES INC,,,,
2018,Anne Arundel Co. Public Schools,SGK CONTRACTING INC,,,,
2018,Anne Arundel Co. Public Schools,SHELL / TEXACO,,,,
2018,Anne Arundel Co. Public Schools,SHEPHERD ELECTRIC CO,,,,
2018,Anne Arundel Co. Public Schools,SHI International Corp,,,,
2018,Anne Arundel Co. Public Schools,SIGN A RAMA,,,,
2018,Anne Arundel Co. Public Schools,SIMPLEX GRINNELL,,,,
2018,Anne Arundel Co. Public Schools,SIMPSON OF MARYLAND INC,,,,
2018,Anne Arundel Co. Public Schools,SMOLEN EMR ILKOVITCH ARCHITECTS,,,,
2018,Anne Arundel Co. Public Schools,SNAP ON INDUSTRIAL,,,,
2018,Anne Arundel Co. Public Schools,SODY CONCRETE CONSTRUCTION INC,,,,
2018,Anne Arundel Co. Public Schools,SPECIALIZED EDUC OF MD INC,,,,
2018,Anne Arundel Co. Public Schools,SPECIALIZED ENGINEERING,,,,
2018,Anne Arundel Co. Public Schools,SPN INC,,,,
2018,Anne Arundel Co. Public Schools,"ST ELIZABETH SCHOOL, INC",,,,
2018,Anne Arundel Co. Public Schools,STEEL PRODUCTS INC,,,,
2018,Anne Arundel Co. Public Schools,STELLA MAY CONTRACTING INC,,,,
2018,Anne Arundel Co. Public Schools,"STORAGELogic of Maryland, Inc.",,,,
2018,Anne Arundel Co. Public Schools,SUNTEX INTERNATIONAL INC,,,,
2018,Anne Arundel Co. Public Schools,SYSTCOM INC,,,,
2018,Anne Arundel Co. Public Schools,"Sanako, Inc.",,,,
2018,Anne Arundel Co. Public Schools,Scenario Learning LLC,,,,
2018,Anne Arundel Co. Public Schools,School Outfitters LLC,,,,
2018,Anne Arundel Co. Public Schools,Security Benefit Life Insurance Company,,,,
2018,Anne Arundel Co. Public Schools,Shaneybrook Contracting Inc,,,,
2018,Anne Arundel Co. Public Schools,Sheppard Pratt Health System DBA Mann Residential School,,,,
2018,Anne Arundel Co. Public Schools,Sheppard Pratt Health System Inc DBA Forbush School,,,,
2018,Anne Arundel Co. Public Schools,Sheppard Pratt Health System Inc DBA JEFFERSON SCHOOL,,,,
2018,Anne Arundel Co. Public Schools,Smith Bus Service Inc,,,,
2018,Anne Arundel Co. Public Schools,Strayer Contracting Inc.,,,,
2018,Anne Arundel Co. Public Schools,Superior Text,,,,
2018,Anne Arundel Co. Public Schools,TAYLOR MUSIC INC,,,,
2018,Anne Arundel Co. Public Schools,TAYLOR SECURITY & LOCK CO INC,,,,
2018,Anne Arundel Co. Public Schools,TCA ARCHITECTS,,,,
2018,Anne Arundel Co. Public Schools,TEACHERS ASSOCIATION OF ANNE ARUNDEL CO,,,,
2018,Anne Arundel Co. Public Schools,TEAM DISTRIBUTORS INC,,,,
2018,Anne Arundel Co. Public Schools,TECH CONTRACTING CO INC,,,,
2018,Anne Arundel Co. Public Schools,TECH4LEARNING INC,,,,
2018,Anne Arundel Co. Public Schools,THE MARYLAND SCHOOL FOR THE BLIND,,,,
2018,Anne Arundel Co. Public Schools,THE PATHWAYS SCHOOL,,,,
2018,Anne Arundel Co. Public Schools,THE TREE PEOPLE,,,,
2018,Anne Arundel Co. Public Schools,TIDAL TECHNOLOGIES CORPORATION,,,,
2018,Anne Arundel Co. Public Schools,TIDEWATER INC,,,,
2018,Anne Arundel Co. Public Schools,TITO CONTRACTORS INC,,,,
2018,Anne Arundel Co. Public Schools,TJ DISTRIBUTORS  INC,,,,
2018,Anne Arundel Co. Public Schools,TOTAL CONTRACTING INC,,,,
2018,Anne Arundel Co. Public Schools,TOWSON MECHANICAL INC,,,,
2018,Anne Arundel Co. Public Schools,TOWSON UNIVERSITY,,,,
2018,Anne Arundel Co. Public Schools,"TRA, Inc.",,,,
2018,Anne Arundel Co. Public Schools,TRANE COMPANY,,,,
2018,Anne Arundel Co. Public Schools,TRAY BUSINESS SYSTEMS INC,,,,
2018,Anne Arundel Co. Public Schools,TUCKMAN-BARBEE CONSTRUCTION,,,,
2018,Anne Arundel Co. Public Schools,TYCO Fire & Security (US) Management Inc,,,,
2018,Anne Arundel Co. Public Schools,"Tangible Play, Inc",,,,
2018,Anne Arundel Co. Public Schools,"TeacherMatch, LLC",,,,
2018,Anne Arundel Co. Public Schools,The DBQ Company,,,,
2018,Anne Arundel Co. Public Schools,"The McArdle School, LLC",,,,
2018,Anne Arundel Co. Public Schools,The Prophet Corporation,,,,
2018,Anne Arundel Co. Public Schools,Total Green Janitorial Supplies,,,,
2018,Anne Arundel Co. Public Schools,Traypml,,,,
2018,Anne Arundel Co. Public Schools,Treasure Coast Maintenance Suppliers,,,,
2018,Anne Arundel Co. Public Schools,U S BANK,,,,
2018,Anne Arundel Co. Public Schools,U S TREASURY,,,,
2018,Anne Arundel Co. Public Schools,U.S. DEPT. OF EDUCATION,,,,
2018,Anne Arundel Co. Public Schools,ULINE,,,,
2018,Anne Arundel Co. Public Schools,UNIPAK CORP,,,,
2018,Anne Arundel Co. Public Schools,UNITED CONCORDIA COMPANIES,,,,
2018,Anne Arundel Co. Public Schools,UNITED WAY OF CENTRAL MARYLAND,,,,
2018,Anne Arundel Co. Public Schools,UNIVERSITY OF MARYLAND BALTIMORE,,,,
2018,Anne Arundel Co. Public Schools,UNIVERSITY OF OREGON,,,,
2018,Anne Arundel Co. Public Schools,UNUM LIFE INS CO OF AMERICA,,,,
2018,Anne Arundel Co. Public Schools,URBAN N ZINK CONTRACTOR INC,,,,
2018,Anne Arundel Co. Public Schools,VALIC RETIREMENT SERVICES CO,,,,
2018,Anne Arundel Co. Public Schools,VATICA CONTRACTING INC,,,,
2018,Anne Arundel Co. Public Schools,VERIZON,,,,
2018,Anne Arundel Co. Public Schools,VERIZON WIRELESS,,,,
2018,Anne Arundel Co. Public Schools,VIRGINIA DEPT OF TAXATION,,,,
2018,Anne Arundel Co. Public Schools,VISION CONTRACT INC,,,,
2018,Anne Arundel Co. Public Schools,VSC FIRE & SECURITY INC,,,,
2018,Anne Arundel Co. Public Schools,Veritiv Operating Co,,,,
2018,Anne Arundel Co. Public Schools,"W.B. MASON CO., INC.",,,,
2018,Anne Arundel Co. Public Schools,"WALTERS RELOCATIONS, INC.",,,,
2018,Anne Arundel Co. Public Schools,WARWICK SUPPLY & EQUIP CO INC,,,,
2018,Anne Arundel Co. Public Schools,WASTE MANAGEMENT OF MD INC,,,,
2018,Anne Arundel Co. Public Schools,WATER & SEWAGE SERVICE,,,,
2018,Anne Arundel Co. Public Schools,WENGER CORPORATION,,,,
2018,Anne Arundel Co. Public Schools,WESTERN PSYCHOLOGICAL SERVICES,,,,
2018,Anne Arundel Co. Public Schools,"WGL ENERGY SERVICES, INC.",,,,
2018,Anne Arundel Co. Public Schools,WHEELER GOODMAN MASEK,,,,
2018,Anne Arundel Co. Public Schools,WHITING TURNER CONTRACTING CO,,,,
2018,Anne Arundel Co. Public Schools,"WHITMAN, REQUARDT & ASSOCIATES",,,,
2018,Anne Arundel Co. Public Schools,WILLIAM KLINGENSMITH INC,,,,
2018,Anne Arundel Co. Public Schools,WILSON LANGUAGE TRAINING,,,,
2018,Anne Arundel Co. Public Schools,WILSON'S BUS SERVICE INC,,,,
2018,Anne Arundel Co. Public Schools,WOLVERINE BRASS INC,,,,
2018,Anne Arundel Co. Public Schools,WORLD BOOK INC,,,,
2018,Anne Arundel Co. Public Schools,YMCA CAMP LETTS,,,,
2018,Anne Arundel Co. Public Schools,YOUNG AUDIENCES OF MD INC,,,,
2018,Anne Arundel Co. Public Schools,YOUTH IN TRANSITION SCHOOL,,,,
2018,Anne Arundel Co. Public Schools,ZEPHYR ALUMINUM INC,,,,
2018,Anne Arundel Co. Public Schools,b & b CONCEPTS INC,,,,
2018,Anne Arundel Co. Public Schools,ePlus Technology Inc,,,,
2018,Anne Arundel Co. Public Schools,eSchool Solutions LLC,,,,
2018,Anne Arundel Co. Public Schools,"hand2mind, Inc.",,,,
2017,Anne Arundel Co. Public Schools,"BALTIMORE CONTRACTORS, INC",,,,
2017,Anne Arundel Co. Public Schools,11400 INC,,,,
2017,Anne Arundel Co. Public Schools,A A CO ACCOUNTING AND CONTROL,,,,
2017,Anne Arundel Co. Public Schools,A L INGRAM CONSTRUCTION LLC,,,,
2017,Anne Arundel Co. Public Schools,A-L ABATEMENT INC,,,,
2017,Anne Arundel Co. Public Schools,ABC APPLIANCE SALES & SERVICE,,,,
2017,Anne Arundel Co. Public Schools,ABC-CLIO,,,,
2017,Anne Arundel Co. Public Schools,"ABSOLUTE SUPPLY AND SERVICES, LLC",,,,
2017,Anne Arundel Co. Public Schools,ACME PAPER & SUPPLY CO,,,,
2017,Anne Arundel Co. Public Schools,"ACTION ELECTRICAL CONTRACTORS, INC",,,,
2017,Anne Arundel Co. Public Schools,ADMIRAL TIRE CO,,,,
2017,Anne Arundel Co. Public Schools,ADVANCE PIERRE FOODS,,,,
2017,Anne Arundel Co. Public Schools,AIRECO SUPPLY INC,,,,
2017,Anne Arundel Co. Public Schools,ALARM TECH SOLUTIONS LLC,,,,
2017,Anne Arundel Co. Public Schools,ALBAN TRACTOR CO INC,,,,
2017,Anne Arundel Co. Public Schools,ALLIANCE TECHNOLOGY GROUP LLC,,,,
2017,Anne Arundel Co. Public Schools,ALTERNATE RADIATOR SERVICE,,,,
2017,Anne Arundel Co. Public Schools,ALTIMATE ELECTRIC INC,,,,
2017,Anne Arundel Co. Public Schools,"ALUMINUM ATHLETIC EQUIPMENT CO, INC",,,,
2017,Anne Arundel Co. Public Schools,AMER FED OF ST CO MUNICIP EMPL,,,,
2017,Anne Arundel Co. Public Schools,AMERICAN COMBUSTION INDUSTRIES,,,,
2017,Anne Arundel Co. Public Schools,AMERICAN ENERGY RESTAURANT EQ,,,,
2017,Anne Arundel Co. Public Schools,AMERICAN NATIVE PLANTS INC,,,,
2017,Anne Arundel Co. Public Schools,AMSCO,,,,
2017,Anne Arundel Co. Public Schools,AMTEK CO,,,,
2017,Anne Arundel Co. Public Schools,ANNAPOLIS BUS CO INC,,,,
2017,Anne Arundel Co. Public Schools,ANNAPOLIS SHAKESPEARE COMPANY INC,,,,
2017,Anne Arundel Co. Public Schools,ANNAPOLIS SR HIGH SCHOOL,,,,
2017,Anne Arundel Co. Public Schools,ANNE ARUNDEL  BOARD OF OFFICIALS,,,,
2017,Anne Arundel Co. Public Schools,ANNE ARUNDEL COMMUNITY COLLEGE,,,,
2017,Anne Arundel Co. Public Schools,"ANNE ARUNDEL COUNTY, MD ACCOUNTING & CONTROL",,,,
2017,Anne Arundel Co. Public Schools,ANNE ARUNDEL UMPIRE ASSN,,,,
2017,Anne Arundel Co. Public Schools,AON CONSULTING INC,,,,
2017,Anne Arundel Co. Public Schools,APEX LEARNING,,,,
2017,Anne Arundel Co. Public Schools,APPLE COMPUTER INC,,,,
2017,Anne Arundel Co. Public Schools,ARBUTUS REFRIGERATION INC,,,,
2017,Anne Arundel Co. Public Schools,ARROW CENTER,,,,
2017,Anne Arundel Co. Public Schools,ARTISTIC CONCEPTS GROUP,,,,
2017,Anne Arundel Co. Public Schools,ARUNDEL GAS CO,,,,
2017,Anne Arundel Co. Public Schools,"ASHLAND EQUIPMENT, INC.",,,,
2017,Anne Arundel Co. Public Schools,ASSO OF EDUC LEADERS INC,,,,
2017,Anne Arundel Co. Public Schools,ASSOCIATED CABS INC,,,,
2017,Anne Arundel Co. Public Schools,ASSOCIATED CATHOLIC CHARITIES,,,,
2017,Anne Arundel Co. Public Schools,ASTRO TURF CORP,,,,
2017,Anne Arundel Co. Public Schools,AT & T,,,,
2017,Anne Arundel Co. Public Schools,ATC Corp.,,,,
2017,Anne Arundel Co. Public Schools,ATI PHYSICAL THERAPY,,,,
2017,Anne Arundel Co. Public Schools,AUDIO VISUAL INNOVATIONS INC,,,,
2017,Anne Arundel Co. Public Schools,AVID CENTER,,,,
2017,Anne Arundel Co. Public Schools,Ad Astra Inc,,,,
2017,Anne Arundel Co. Public Schools,Aireco Supply Inc  DBA M&M CONTROLS INC,,,,
2017,Anne Arundel Co. Public Schools,Allied Instructional Services,,,,
2017,Anne Arundel Co. Public Schools,American Air Filter Company Inc,,,,
2017,Anne Arundel Co. Public Schools,American Sanitary Products Inc,,,,
2017,Anne Arundel Co. Public Schools,American Truck & Bus Inc.,,,,
2017,Anne Arundel Co. Public Schools,"Anzi-Tech Distribution, Inc.",,,,
2017,Anne Arundel Co. Public Schools,Artivate Inc,,,,
2017,Anne Arundel Co. Public Schools,B&B BUS LINES INC,,,,
2017,Anne Arundel Co. Public Schools,B&H Photo & Electronics Corp,,,,
2017,Anne Arundel Co. Public Schools,BAKER & TAYLOR INC,,,,
2017,Anne Arundel Co. Public Schools,BALDWIN MECHANICAL CONTRACTORS,,,,
2017,Anne Arundel Co. Public Schools,BALTIMORE COUNTY PUBLIC SCHOOL,,,,
2017,Anne Arundel Co. Public Schools,BALTIMORE DOOR & FRAME,,,,
2017,Anne Arundel Co. Public Schools,BALTIMORE GAS & ELECTRIC CO,,,,
2017,Anne Arundel Co. Public Schools,BARNES & NOBLE,,,,
2017,Anne Arundel Co. Public Schools,BAY ENGINEERING SERVICES,,,,
2017,Anne Arundel Co. Public Schools,BELL TECHLOGIX,,,,
2017,Anne Arundel Co. Public Schools,BENEDICTINE SCHOOL FOR EXCEPTIONAL CHILDREN,,,,
2017,Anne Arundel Co. Public Schools,BENELOGIC LLC,,,,
2017,Anne Arundel Co. Public Schools,BEST FENCE,,,,
2017,Anne Arundel Co. Public Schools,BIGNELL WATKINS HASSER,,,,
2017,Anne Arundel Co. Public Schools,BIOTECH SOLUTIONS,,,,
2017,Anne Arundel Co. Public Schools,BLACKBOARD COLLABORATE INC,,,,
2017,Anne Arundel Co. Public Schools,BLACKBOARD CONNECT INC DBA Blackboard Inc,,,,
2017,Anne Arundel Co. Public Schools,BLACKBOARD INC,,,,
2017,Anne Arundel Co. Public Schools,BMC SOFTWARE INC,,,,
2017,Anne Arundel Co. Public Schools,"BMI Benefits, LLC DBA BOB MCCLOSKEY INSURANCE",,,,
2017,Anne Arundel Co. Public Schools,BOARD OF CHILDCARE,,,,
2017,Anne Arundel Co. Public Schools,BOWINGS & HUBER LLC DBA: BOMARK ELECTRIC,,,,
2017,Anne Arundel Co. Public Schools,BRAINPOP LLC,,,,
2017,Anne Arundel Co. Public Schools,BROOKS TRANSPORTATION,,,,
2017,Anne Arundel Co. Public Schools,BSN Sports Inc,,,,
2017,Anne Arundel Co. Public Schools,BSN Sports Inc DBA US GAMES INC,,,,
2017,Anne Arundel Co. Public Schools,BUCKEYE CLEANING CENTER,,,,
2017,Anne Arundel Co. Public Schools,BURDETTE KOEHLER MURPHY & ASSOCIATES,,,,
2017,Anne Arundel Co. Public Schools,Ballet Theatre of Maryland,,,,
2017,Anne Arundel Co. Public Schools,Baltimore Lab School Inc,,,,
2017,Anne Arundel Co. Public Schools,Bear Communications DBA TELTRONIC INC,,,,
2017,Anne Arundel Co. Public Schools,C. MUHL BUS SERVICE INC,,,,
2017,Anne Arundel Co. Public Schools,CAMBRIDGE UNIVERSITY PRESS,,,,
